遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,特別號
大樂透,115000001,2026/01/02,103669900,2073398,79764040,3,7,16,19,40,42,12
大樂透,115000002,2026/01/06,103515950,2070319,100336832,2,23,33,38,39,45,06
大樂透,115000003,2026/01/09,102376600,2047532,121832180,1,7,13,14,34,45,08
大樂透,115000004,2026/01/13,109427400,2188548,147636494,2,10,18,19,39,49,24
大樂透,115000005,2026/01/16,102371900,2047438,59255770,9,10,21,22,25,36,20
大樂透,115000006,2026/01/20,104199050,2083981,76806276,2,7,26,41,44,45,46
大樂透,115000007,2026/01/23,102608400,2052168,103463320,21,23,32,36,39,43,12
大樂透,115000008,2026/01/27,107889950,2157799,126966484,4,11,24,25,29,30,08
大樂透,115000009,2026/01/30,114011050,2280221,148629765,9,13,27,31,32,39,19
